Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1639402701.4275	
BlockStart	1	0	0		-	1639402702.4342	
Fix	1	0	0		+	1639402702.4721
KeyPress	1	1				1639402702.4311	
StimVisualOn	1	1	able	center	LiberationMono-Regular.ttf	1639402704.0347
StimVisualOff	1	1				1639402704.2013
StimVisualOn	1	2	yl	center	LiberationMono-Regular.ttf	1639402704.368
StimVisualOff	1	2				1639402704.5347
StimVisualOn	1	3	velb	center	LiberationMono-Regular.ttf	1639402704.7013
StimVisualOff	1	3				1639402704.868
StimVisualOn	1	4	isti	center	LiberationMono-Regular.ttf	1639402705.0347
StimVisualOff	1	4				1639402705.2013
StimVisualOn	1	5	isyl	center	LiberationMono-Regular.ttf	1639402705.3889
StimVisualOff	1	5				1639402705.5555
StimVisualOn	1	6	sti	center	LiberationMono-Regular.ttf	1639402705.7222
StimVisualOff	1	6				1639402705.8889
StimVisualOn	1	7	sly	center	LiberationMono-Regular.ttf	1639402706.0555
StimVisualOff	1	7				1639402706.2222
StimVisualOn	1	8	gl	center	LiberationMono-Regular.ttf	1639402706.3889
StimVisualOff	1	8				1639402706.5556
StimVisualOn	1	9	se	center	LiberationMono-Regular.ttf	1639402706.7222
StimVisualOff	1	9				1639402706.8889
StimVisualOn	1	10	gly	center	LiberationMono-Regular.ttf	1639402707.0764
StimVisualOff	1	10				1639402707.2431
StimVisualOn	1	11	isyl	center	LiberationMono-Regular.ttf	1639402707.4097
StimVisualOff	1	11				1639402707.5764
StimVisualOn	1	12	rnuv	center	LiberationMono-Regular.ttf	1639402707.7639
StimVisualOff	1	12				1639402707.9306
StimVisualOn	1	13	isyl	center	LiberationMono-Regular.ttf	1639402708.0973
StimVisualOff	1	13				1639402708.2639
StimVisualOn	1	14	vi	center	LiberationMono-Regular.ttf	1639402708.4306
StimVisualOff	1	14				1639402708.5973
StimVisualOn	1	15	dkag	center	LiberationMono-Regular.ttf	1639402708.7639
StimVisualOff	1	15				1639402708.9306
StimVisualOn	1	16	vivr	center	LiberationMono-Regular.ttf	1639402709.0973
StimVisualOff	1	16				1639402709.2639
StimVisualOn	1	17	ver	center	LiberationMono-Regular.ttf	1639402709.4515
StimVisualOff	1	17				1639402709.6181
StimVisualOn	1	18	uka	center	LiberationMono-Regular.ttf	1639402709.7848
StimVisualOff	1	18				1639402709.9515
StimVisualOn	1	19	undi	center	LiberationMono-Regular.ttf	1639402710.1181
StimVisualOff	1	19				1639402710.2848
StimVisualOn	1	20	sre	center	LiberationMono-Regular.ttf	1639402710.4515
StimVisualOff	1	20				1639402710.6182
StimVisualOn	1	21	6	center	LiberationMono-Regular.ttf	1639402710.7848
StimVisualOff	1	21				1639402710.9515
StimVisualOn	1	22	ka	center	LiberationMono-Regular.ttf	1639402711.139
StimVisualOff	1	22				1639402711.3057
StimVisualOn	1	23	ly	center	LiberationMono-Regular.ttf	1639402711.4723
StimVisualOff	1	23				1639402711.639
StimVisualOn	1	24	eka	center	LiberationMono-Regular.ttf	1639402711.8057
StimVisualOff	1	24				1639402711.9723
StimVisualOn	1	25	er	center	LiberationMono-Regular.ttf	1639402712.139
StimVisualOff	1	25				1639402712.3057
StimVisualOn	1	26	erti	center	LiberationMono-Regular.ttf	1639402712.4724
StimVisualOff	1	26				1639402712.639
StimVisualOn	1	27	kagl	center	LiberationMono-Regular.ttf	1639402712.8057
StimVisualOff	1	27				1639402712.9724
