Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634504193.541	
BlockStart	1	0	0		-	1634504194.674	
Fix	1	0	0		+	1634504194.7224
KeyPress	1	1				1634504194.6715	
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634504196.2849
StimVisualOff	1	1				1634504196.4516
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634504196.6391
StimVisualOff	1	2				1634504196.8057
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634504196.9932
StimVisualOff	1	3				1634504197.1599
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634504197.3474
StimVisualOff	1	4				1634504197.5141
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634504197.7016
StimVisualOff	1	5				1634504197.8682
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634504198.0558
StimVisualOff	1	6				1634504198.2224
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634504198.4099
StimVisualOff	1	7				1634504198.5766
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634504198.7641
StimVisualOff	1	8				1634504198.9308
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634504199.1183
StimVisualOff	1	9				1634504199.2849
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634504199.4724
StimVisualOff	1	10				1634504199.6391
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634504199.8266
StimVisualOff	1	11				1634504199.9933
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634504200.1808
StimVisualOff	1	12				1634504200.3475
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634504200.535
StimVisualOff	1	13				1634504200.7225
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634504200.91
StimVisualOff	1	14				1634504201.0766
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634504201.2641
StimVisualOff	1	15				1634504201.4308
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634504201.6183
StimVisualOff	1	16				1634504201.785
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634504201.9725
StimVisualOff	1	17				1634504202.1391
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634504202.3266
StimVisualOff	1	18				1634504202.4933
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634504202.6808
StimVisualOff	1	19				1634504202.8475
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634504203.035
StimVisualOff	1	20				1634504203.2017
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634504203.3892
StimVisualOff	1	21				1634504203.5558
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634504203.7433
StimVisualOff	1	22				1634504203.9308
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634504204.1183
StimVisualOff	1	23				1634504204.285
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634504204.4725
StimVisualOff	1	24				1634504204.6392
StimVisualOn	1	25	2	center	LiberationMono-Regular.ttf	1634504204.8267
StimVisualOff	1	25				1634504204.9934
StimVisualOn	1	26	p	center	AlexBrush-Regular.ttf	1634504205.1809
StimVisualOff	1	26				1634504205.3475
StimVisualOn	1	27	L	center	AlexBrush-Regular.ttf	1634504205.535
StimVisualOff	1	27				1634504205.7017
StimVisualOn	1	28	e	center	AlexBrush-Regular.ttf	1634504205.8892
StimVisualOff	1	28				1634504206.0559
StimVisualOn	1	29	O	center	AlexBrush-Regular.ttf	1634504206.2434
StimVisualOff	1	29				1634504206.41
StimVisualOn	1	30	T	center	LiberationMono-Regular.ttf	1634504206.5975
StimVisualOff	1	30				1634504206.7642
StimVisualOn	1	31	P	center	LiberationMono-Regular.ttf	1634504206.9517
StimVisualOff	1	31				1634504207.1184
StimVisualOn	1	32	D	center	LiberationMono-Regular.ttf	1634504207.3059
StimVisualOff	1	32				1634504207.4726
StimVisualOn	1	33	u	center	AlexBrush-Regular.ttf	1634504207.6601
StimVisualOff	1	33				1634504207.8267
StimVisualOn	1	34	C	center	LiberationMono-Regular.ttf	1634504208.0142
StimVisualOff	1	34				1634504208.1809
StimVisualOn	1	35	E	center	LiberationMono-Regular.ttf	1634504208.3684
StimVisualOff	1	35				1634504208.5351
StimVisualOn	1	36	P	center	LiberationMono-Regular.ttf	1634504208.7226
StimVisualOff	1	36				1634504208.8892
StimVisualOn	1	37	O	center	AlexBrush-Regular.ttf	1634504209.0768
StimVisualOff	1	37				1634504209.2434
StimVisualOn	1	38	W	center	LiberationMono-Regular.ttf	1634504209.4309
StimVisualOff	1	38				1634504209.5976
StimVisualOn	1	39	b	center	AlexBrush-Regular.ttf	1634504209.7851
StimVisualOff	1	39				1634504209.9518
StimVisualOn	1	40	j	center	AlexBrush-Regular.ttf	1634504210.1393
StimVisualOff	1	40				1634504210.3059
StimVisualOn	1	41	f	center	AlexBrush-Regular.ttf	1634504210.4934
StimVisualOff	1	41				1634504210.6601
StimVisualOn	1	42	G	center	AlexBrush-Regular.ttf	1634504210.8476
StimVisualOff	1	42				1634504211.0143
StimVisualOn	1	43	4	center	LiberationMono-Regular.ttf	1634504211.2018
StimVisualOff	1	43				1634504211.3685
StimVisualOn	1	44	J	center	LiberationMono-Regular.ttf	1634504211.556
StimVisualOff	1	44				1634504211.7435
StimVisualOn	1	45	f	center	LiberationMono-Regular.ttf	1634504211.931
StimVisualOff	1	45				1634504212.0976
StimVisualOn	1	46	k	center	LiberationMono-Regular.ttf	1634504212.2851
StimVisualOff	1	46				1634504212.4518
StimVisualOn	1	47	q	center	LiberationMono-Regular.ttf	1634504212.6393
StimVisualOff	1	47				1634504212.806
StimVisualOn	1	48	N	center	AlexBrush-Regular.ttf	1634504212.9935
StimVisualOff	1	48				1634504213.1601
StimVisualOn	1	49	J	center	LiberationMono-Regular.ttf	1634504213.3477
StimVisualOff	1	49				1634504213.5143
StimVisualOn	1	50	t	center	LiberationMono-Regular.ttf	1634504213.7018
StimVisualOff	1	50				1634504213.8685
StimVisualOn	1	51	y	center	LiberationMono-Regular.ttf	1634504214.056
StimVisualOff	1	51				1634504214.2227
StimVisualOn	1	52	J	center	LiberationMono-Regular.ttf	1634504214.4102
StimVisualOff	1	52				1634504214.5768
StimVisualOn	1	53	B	center	AlexBrush-Regular.ttf	1634504214.7643
StimVisualOff	1	53				1634504214.931
StimVisualOn	1	54	V	center	AlexBrush-Regular.ttf	1634504215.1185
StimVisualOff	1	54				1634504215.2852
StimVisualOn	1	55	C	center	LiberationMono-Regular.ttf	1634504215.4727
StimVisualOff	1	55				1634504215.6394
StimVisualOn	1	56	S	center	LiberationMono-Regular.ttf	1634504215.8269
StimVisualOff	1	56				1634504215.9935
StimVisualOn	1	57	T	center	AlexBrush-Regular.ttf	1634504216.181
StimVisualOff	1	57				1634504216.3477
StimVisualOn	1	58	B	center	AlexBrush-Regular.ttf	1634504216.5352
StimVisualOff	1	58				1634504216.7227
StimVisualOn	1	59	V	center	AlexBrush-Regular.ttf	1634504216.9102
StimVisualOff	1	59				1634504217.0769
