Event	Block	Trial	Stimulus	Position	Font	Time
GrandStart					---	1634420229.7778	
BlockStart	1	0	0		-	1634420231.2508	
Fix	1	0	0		+	1634420231.2941
StimVisualOn	1	1	A	center	LiberationMono-Regular.ttf	1634420232.8566
StimVisualOff	1	1				1634420232.9608
StimVisualOn	1	2	K	center	LiberationMono-Regular.ttf	1634420233.0858
StimVisualOff	1	2				1634420233.19
StimVisualOn	1	3	Y	center	LiberationMono-Regular.ttf	1634420233.315
StimVisualOff	1	3				1634420233.44
StimVisualOn	1	4	G	center	AlexBrush-Regular.ttf	1634420233.565
StimVisualOff	1	4				1634420233.6691
StimVisualOn	1	5	m	center	AlexBrush-Regular.ttf	1634420233.7941
StimVisualOff	1	5				1634420233.9191
StimVisualOn	1	6	R	center	AlexBrush-Regular.ttf	1634420234.065
StimVisualOff	1	6				1634420234.19
StimVisualOn	1	7	g	center	AlexBrush-Regular.ttf	1634420234.3358
StimVisualOff	1	7				1634420234.4608
StimVisualOn	1	8	g	center	AlexBrush-Regular.ttf	1634420234.6067
StimVisualOff	1	8				1634420234.7317
StimVisualOn	1	9	l	center	AlexBrush-Regular.ttf	1634420234.8567
StimVisualOff	1	9				1634420234.9817
StimVisualOn	1	10	K	center	AlexBrush-Regular.ttf	1634420235.1067
StimVisualOff	1	10				1634420235.2317
StimVisualOn	1	11	E	center	LiberationMono-Regular.ttf	1634420235.3567
StimVisualOff	1	11				1634420235.4817
StimVisualOn	1	12	x	center	LiberationMono-Regular.ttf	1634420235.6275
StimVisualOff	1	12				1634420235.7317
StimVisualOn	1	13	C	center	AlexBrush-Regular.ttf	1634420235.8567
StimVisualOff	1	13				1634420235.9608
StimVisualOn	1	14	h	center	LiberationMono-Regular.ttf	1634420236.0858
StimVisualOff	1	14				1634420236.2108
StimVisualOn	1	15	A	center	LiberationMono-Regular.ttf	1634420236.3358
StimVisualOff	1	15				1634420236.44
StimVisualOn	1	16	J	center	LiberationMono-Regular.ttf	1634420236.565
StimVisualOff	1	16				1634420236.6692
StimVisualOn	1	17	B	center	LiberationMono-Regular.ttf	1634420236.7942
StimVisualOff	1	17				1634420236.9192
StimVisualOn	1	18	p	center	AlexBrush-Regular.ttf	1634420237.0442
StimVisualOff	1	18				1634420237.1692
StimVisualOn	1	19	h	center	AlexBrush-Regular.ttf	1634420237.315
StimVisualOff	1	19				1634420237.44
StimVisualOn	1	20	M	center	LiberationMono-Regular.ttf	1634420237.565
StimVisualOff	1	20				1634420237.6692
StimVisualOn	1	21	e	center	LiberationMono-Regular.ttf	1634420237.7942
StimVisualOff	1	21				1634420237.8984
StimVisualOn	1	22	c	center	LiberationMono-Regular.ttf	1634420238.0234
StimVisualOff	1	22				1634420238.1275
StimVisualOn	1	23	F	center	AlexBrush-Regular.ttf	1634420238.2525
StimVisualOff	1	23				1634420238.3775
StimVisualOn	1	24	k	center	LiberationMono-Regular.ttf	1634420238.5234
StimVisualOff	1	24				1634420238.6484
StimVisualOn	1	25	e	center	AlexBrush-Regular.ttf	1634420238.7942
StimVisualOff	1	25				1634420238.9192
StimVisualOn	1	26	O	center	AlexBrush-Regular.ttf	1634420239.0651
StimVisualOff	1	26				1634420239.1901
StimVisualOn	1	27	T	center	LiberationMono-Regular.ttf	1634420239.3151
StimVisualOff	1	27				1634420239.4401
StimVisualOn	1	28	P	center	LiberationMono-Regular.ttf	1634420239.5859
StimVisualOff	1	28				1634420239.6901
StimVisualOn	1	29	D	center	LiberationMono-Regular.ttf	1634420239.8151
StimVisualOff	1	29				1634420239.9192
StimVisualOn	1	30	u	center	AlexBrush-Regular.ttf	1634420240.0651
StimVisualOff	1	30				1634420240.1901
StimVisualOn	1	31	C	center	LiberationMono-Regular.ttf	1634420240.3359
StimVisualOff	1	31				1634420240.4609
StimVisualOn	1	32	E	center	LiberationMono-Regular.ttf	1634420240.6067
StimVisualOff	1	32				1634420240.7109
StimVisualOn	1	33	P	center	LiberationMono-Regular.ttf	1634420240.8568
StimVisualOff	1	33				1634420240.9818
StimVisualOn	1	34	O	center	AlexBrush-Regular.ttf	1634420241.1276
StimVisualOff	1	34				1634420241.2318
StimVisualOn	1	35	W	center	LiberationMono-Regular.ttf	1634420241.3776
StimVisualOff	1	35				1634420241.5026
StimVisualOn	1	36	3	center	LiberationMono-Regular.ttf	1634420241.6484
StimVisualOff	1	36				1634420241.7734
StimVisualOn	1	37	b	center	AlexBrush-Regular.ttf	1634420241.9193
StimVisualOff	1	37				1634420242.0443
StimVisualOn	1	38	j	center	AlexBrush-Regular.ttf	1634420242.1901
StimVisualOff	1	38				1634420242.3151
StimVisualOn	1	39	f	center	AlexBrush-Regular.ttf	1634420242.4401
StimVisualOff	1	39				1634420242.5443
StimVisualOn	1	40	G	center	AlexBrush-Regular.ttf	1634420242.6693
StimVisualOff	1	40				1634420242.7943
StimVisualOn	1	41	k	center	LiberationMono-Regular.ttf	1634420242.9193
StimVisualOff	1	41				1634420243.0235
StimVisualOn	1	42	q	center	LiberationMono-Regular.ttf	1634420243.1485
StimVisualOff	1	42				1634420243.2735
StimVisualOn	1	43	N	center	AlexBrush-Regular.ttf	1634420243.4193
StimVisualOff	1	43				1634420243.5443
StimVisualOn	1	44	J	center	LiberationMono-Regular.ttf	1634420243.6901
StimVisualOff	1	44				1634420243.7943
StimVisualOn	1	45	t	center	LiberationMono-Regular.ttf	1634420243.9193
StimVisualOff	1	45				1634420244.0443
StimVisualOn	1	46	y	center	LiberationMono-Regular.ttf	1634420244.1693
StimVisualOff	1	46				1634420244.2735
StimVisualOn	1	47	J	center	LiberationMono-Regular.ttf	1634420244.3985
StimVisualOff	1	47				1634420244.5027
