1, maf, target, maf, , , root
2, remaf, target, maf, re, , 1P
3, ermaf, control, 1P, maf, re, 
4, unmaf, target, maf, un, , 1P
5, numaf, control, 1P, maf, un, 
6, dismaf, target, maf, dis, , 1P
7, sidmaf, control, 1P, maf, dis, 
8, mafer, target, maf, , er, 1S
9, mafre, control, 1S, maf, , er
10, mafly, target, maf, , ly, 1S
11, malfy, control, 1S, maf, , ly
12, mafable, target, maf, , able, 1S
13, maflabe, control, 1S, maf, , able
14, unremaf, target, maf, unre, , 2P
15, ernumaf, control, 2P, maf, unre, 
16, undismaf, target, maf, undis, , 2P
17, nusidmaf, control, 2P, maf, undis, 
18, remafly, target, maf, re, ly, 1P1S
19, ermalfy, control, 1P1S, maf, re, ly
20, remafable, target, maf, re, able, 1P1S
21, ermaflabe, control, 1P1S, maf, re, able
22, unmafly, target, maf, un, ly, 1P1S
23, numalfy, control, 1P1S, maf, un, ly
24, unmafable, target, maf, un, able, 1P1S
25, numaflabe, control, 1P1S, maf, un, able
26, dismafly, target, maf, dis, ly, 1P1S
27, sidmalfy, control, 1P1S, maf, dis, ly
28, dismafable, target, maf, dis, able, 1P1S
29, sidmaflabe, control, 1P1S, maf, dis, able
30, unremafer, target, maf, unre, er, 2P1S
31, ernumafre, control, 2P1S, maf, unre, er
32, unremafly, target, maf, unre, ly, 2P1S
33, ernumalfy, control, 2P1S, maf, unre, ly
34, unremafable, target, maf, unre, able, 2P1S
35, ernumaflabe, control, 2P1S, maf, unre, able
36, undismafer, target, maf, undis, er, 2P1S
37, nusidmafre, control, 2P1S, maf, undis, er
38, undismafly, target, maf, undis, ly, 2P1S
39, nusidmalfy, control, 2P1S, maf, undis, ly
40, undismafable, target, maf, undis, able, 2P1S
41, nusidmaflabe, control, 2P1S, maf, undis, able
42, kag, target, kag, , , root
43, rekag, target, kag, re, , 1P
44, erkag, control, 1P, kag, re, 
45, unkag, target, kag, un, , 1P
46, nukag, control, 1P, kag, un, 
47, diskag, target, kag, dis, , 1P
48, sidkag, control, 1P, kag, dis, 
49, kager, target, kag, , er, 1S
50, kagre, control, 1S, kag, , er
51, kagly, target, kag, , ly, 1S
52, kalgy, control, 1S, kag, , ly
53, kagable, target, kag, , able, 1S
54, kaglabe, control, 1S, kag, , able
