1, kag, target, kag, , , root
2, rekag, target, kag, re, , 1P
3, erkag, control, 1P, kag, re, 
4, unkag, target, kag, un, , 1P
5, nukag, control, 1P, kag, un, 
6, diskag, target, kag, dis, , 1P
7, sidkag, control, 1P, kag, dis, 
8, kager, target, kag, , er, 1S
9, kagre, control, 1S, kag, , er
10, kagly, target, kag, , ly, 1S
11, kagyl, control, 1S, kag, , ly
12, kagable, target, kag, , able, 1S
13, kagelba, control, 1S, kag, , able
14, unrekag, target, kag, unre, , 2P
15, ernukag, control, 2P, kag, unre, 
16, undiskag, target, kag, undis, , 2P
17, nusidkag, control, 2P, kag, undis, 
18, rekagly, target, kag, re, ly, 1P1S
19, erkagyl, control, 1P1S, kag, re, ly
20, rekagable, target, kag, re, able, 1P1S
21, erkagelba, control, 1P1S, kag, re, able
22, unkagly, target, kag, un, ly, 1P1S
23, nukagyl, control, 1P1S, kag, un, ly
24, unkagable, target, kag, un, able, 1P1S
25, nukagelba, control, 1P1S, kag, un, able
26, diskagly, target, kag, dis, ly, 1P1S
27, sidkagyl, control, 1P1S, kag, dis, ly
28, diskagable, target, kag, dis, able, 1P1S
29, sidkagelba, control, 1P1S, kag, dis, able
30, unrekager, target, kag, unre, er, 2P1S
31, ernukagre, control, 2P1S, kag, unre, er
32, unrekagly, target, kag, unre, ly, 2P1S
33, ernukagyl, control, 2P1S, kag, unre, ly
34, unrekagable, target, kag, unre, able, 2P1S
35, ernukagelba, control, 2P1S, kag, unre, able
36, undiskager, target, kag, undis, er, 2P1S
37, nusidkagre, control, 2P1S, kag, undis, er
38, undiskagly, target, kag, undis, ly, 2P1S
39, nusidkagyl, control, 2P1S, kag, undis, ly
40, undiskagable, target, kag, undis, able, 2P1S
41, nusidkagelba, control, 2P1S, kag, undis, able
42, tis, target, tis, , , root
43, retis, target, tis, re, , 1P
44, ertis, control, 1P, tis, re, 
45, untis, target, tis, un, , 1P
46, nutis, control, 1P, tis, un, 
47, distis, target, tis, dis, , 1P
48, sidtis, control, 1P, tis, dis, 
49, tiser, target, tis, , er, 1S
50, tisre, control, 1S, tis, , er
51, tisly, target, tis, , ly, 1S
52, tisyl, control, 1S, tis, , ly
53, tisable, target, tis, , able, 1S
54, tiselba, control, 1S, tis, , able
55, unretis, target, tis, unre, , 2P
56, ernutis, control, 2P, tis, unre, 
57, undistis, target, tis, undis, , 2P
58, nusidtis, control, 2P, tis, undis, 
59, retisly, target, tis, re, ly, 1P1S
60, ertisyl, control, 1P1S, tis, re, ly
61, retisable, target, tis, re, able, 1P1S
62, ertiselba, control, 1P1S, tis, re, able
63, untisly, target, tis, un, ly, 1P1S
64, nutisyl, control, 1P1S, tis, un, ly
65, untisable, target, tis, un, able, 1P1S
66, nutiselba, control, 1P1S, tis, un, able
67, distisly, target, tis, dis, ly, 1P1S
68, sidtisyl, control, 1P1S, tis, dis, ly
69, distisable, target, tis, dis, able, 1P1S
70, sidtiselba, control, 1P1S, tis, dis, able
71, unretiser, target, tis, unre, er, 2P1S
72, ernutisre, control, 2P1S, tis, unre, er
73, unretisly, target, tis, unre, ly, 2P1S
74, ernutisyl, control, 2P1S, tis, unre, ly
75, unretisable, target, tis, unre, able, 2P1S
76, ernutiselba, control, 2P1S, tis, unre, able
77, undistiser, target, tis, undis, er, 2P1S
78, nusidtisre, control, 2P1S, tis, undis, er
79, undistisly, target, tis, undis, ly, 2P1S
80, nusidtisyl, control, 2P1S, tis, undis, ly
81, undistisable, target, tis, undis, able, 2P1S
82, nusidtiselba, control, 2P1S, tis, undis, able
83, viv, target, viv, , , root
84, reviv, target, viv, re, , 1P
85, erviv, control, 1P, viv, re, 
86, unviv, target, viv, un, , 1P
87, nuviv, control, 1P, viv, un, 
88, disviv, target, viv, dis, , 1P
89, sidviv, control, 1P, viv, dis, 
90, viver, target, viv, , er, 1S
91, vivre, control, 1S, viv, , er
92, vivly, target, viv, , ly, 1S
93, vivyl, control, 1S, viv, , ly
94, vivable, target, viv, , able, 1S
95, vivelba, control, 1S, viv, , able
96, unreviv, target, viv, unre, , 2P
97, ernuviv, control, 2P, viv, unre, 
98, undisviv, target, viv, undis, , 2P
99, nusidviv, control, 2P, viv, undis, 
100, revivly, target, viv, re, ly, 1P1S
101, ervivyl, control, 1P1S, viv, re, ly
102, revivable, target, viv, re, able, 1P1S
103, ervivelba, control, 1P1S, viv, re, able
104, unvivly, target, viv, un, ly, 1P1S
105, nuvivyl, control, 1P1S, viv, un, ly
106, unvivable, target, viv, un, able, 1P1S
107, nuvivelba, control, 1P1S, viv, un, able
108, disvivly, target, viv, dis, ly, 1P1S
109, sidvivyl, control, 1P1S, viv, dis, ly
110, disvivable, target, viv, dis, able, 1P1S
111, sidvivelba, control, 1P1S, viv, dis, able
112, unreviver, target, viv, unre, er, 2P1S
113, ernuvivre, control, 2P1S, viv, unre, er
114, unrevivly, target, viv, unre, ly, 2P1S
115, ernuvivyl, control, 2P1S, viv, unre, ly
116, unrevivable, target, viv, unre, able, 2P1S
117, ernuvivelba, control, 2P1S, viv, unre, able
118, undisviver, target, viv, undis, er, 2P1S
119, nusidvivre, control, 2P1S, viv, undis, er
120, undisvivly, target, viv, undis, ly, 2P1S
121, nusidvivyl, control, 2P1S, viv, undis, ly
122, undisvivable, target, viv, undis, able, 2P1S
123, nusidvivelba, control, 2P1S, viv, undis, able
