pattern,word,word_length
0-1-0,accident,8.0
0-1-0,bulletin,8.0
0-1-0,calendar,8.0
0-1-0,daughter,8.0
0-1-0,shoulder,8.0
0-1-0,together,8.0
0-1-0,disaster,8.0
0-1-0,distance,8.0
0-1-0,district,8.0
0-1-0,response,8.0
0-1-0,register,8.0
0-1-0,document,8.0
0-1-0,envelope,8.0
0-1-0,evidence,8.0
0-1-0,frequent,8.0
0-1-0,magazine,8.0
0-1-0,mountain,8.0
0-1-0,neighbor,8.0
0-1-0,sentence,8.0
0-1-0,tomorrow,8.0
0-1-0,algorithm,9.0
0-1-0,architect,9.0
0-1-0,artichoke,9.0
0-1-0,cartridge,9.0
0-1-0,challenge,9.0
0-1-0,character,9.0
0-1-0,chocolate,9.0
0-1-0,condition,9.0
0-1-0,determine,9.0
0-1-0,difficult,9.0
0-1-0,efficient,9.0
0-1-0,establish,9.0
0-1-0,interpret,9.0
0-1-0,marijuana,9.0
0-1-0,territory,9.0
1-1-0,indirect,8.0
1-1-0,insecure,8.0
1-1-0,reassign,8.0
1-1-0,redirect,8.0
1-1-0,unafraid,8.0
1-1-0,uncommon,8.0
1-1-0,disagree,8.0
1-1-0,dishonor,8.0
1-1-0,incorrect,9.0
1-1-0,insincere,9.0
1-1-0,rearrange,9.0
1-1-0,reeducate,9.0
1-1-0,unwelcome,9.0
1-1-0,uncertain,9.0
1-1-0,disbelief,9.0
1-1-0,disengage,9.0
0-1-1,colorful,8.0
0-1-1,truthful,8.0
0-1-1,familial,8.0
0-1-1,integral,8.0
0-1-1,brighter,8.0
0-1-1,employer,8.0
0-1-1,commonly,8.0
0-1-1,motherly,8.0
0-1-1,playable,8.0
0-1-1,bearable,8.0
0-1-1,forgetful,9.0
0-1-1,stressful,9.0
0-1-1,political,9.0
0-1-1,spiritual,9.0
0-1-1,traveller,9.0
0-1-1,developer,9.0
0-1-1,brotherly,9.0
0-1-1,eternally,9.0
0-1-1,agreeable,9.0
0-1-1,desirable,9.0
1-1-1,disunity,8.0
1-1-1,reviewer,8.0
1-1-1,unevenly,8.0
1-1-1,unfairly,8.0
1-1-1,unkindly,8.0
1-1-1,unlikely,8.0
1-1-1,unloader,8.0
1-1-1,unlovely,8.0
1-1-1,unwisely,8.0
1-1-1,renewable,9.0
1-1-1,repayable,9.0
1-1-1,unearthly,9.0
1-1-1,unhappily,9.0
1-1-1,unhealthy,9.0
1-1-1,unnatural,9.0
1-1-1,unpopular,9.0
1-1-1,unusually,9.0
1-1-1,unwomanly,9.0
2-1-0,disembody,9.0
0-1-2,usefully,8.0
0-1-2,artfully,8.0
0-1-2,lawfully,8.0
0-1-2,arguably,8.0
0-1-2,bearably,8.0
0-1-2,normally,8.0
0-1-2,sexually,8.0
0-1-2,deadlier,8.0
0-1-2,kindlier,8.0
0-1-2,fearfully,9.0
0-1-2,harmfully,9.0
0-1-2,desirably,9.0
0-1-2,agreeably,9.0
0-1-2,musically,9.0
0-1-2,naturally,9.0
0-1-2,statelier,9.0
0-1-2,worldlier,9.0
1-1-2,atypical,8.0
1-1-2,unrulier,8.0
1-1-2,asexually,9.0
1-1-2,atheistic,9.0
1-1-2,atonality,9.0
1-1-2,coequally,9.0
1-1-2,inaudibly,9.0
1-1-2,invisibly,9.0
1-1-2,unluckily,9.0
2-1-1,reawaken,8.0
2-1-1,unbeknown,9.0
